Insert,,,,,,,search,,,,,
LL A,LL B,BST A,BST B,Hash A,Hash B,,LL A,LL B,BST A,BST B,Hash A,Hash B
1.09E-06,1.06E-06,1.80E-04,2.79E-04,1.38E-06,3.70E-06,,1.10E-02,1.34E-02,5.93E-04,1.85E-03,8.96E-05,0.00014933
1.07E-06,1.06E-06,1.81E-04,2.83E-04,1.40E-06,3.71E-06,,1.11E-02,1.35E-02,5.94E-04,1.85E-03,8.96E-05,0.0001496
1.01E-06,1.01E-06,1.82E-04,2.87E-04,1.40E-06,3.71E-06,,1.12E-02,1.36E-02,5.95E-04,1.85E-03,8.96E-05,0.00014987
1.07E-06,1.06E-06,1.83E-04,2.90E-04,1.40E-06,3.71E-06,,1.12E-02,1.37E-02,5.96E-04,1.85E-03,8.96E-05,0.00014997
1.07E-06,1.89E-06,1.84E-04,2.94E-04,1.42E-06,3.72E-06,,1.13E-02,1.38E-02,5.97E-04,1.85E-03,8.96E-05,0.00015009
1.08E-06,1.09E-06,1.85E-04,2.97E-04,1.42E-06,3.72E-06,,1.14E-02,1.40E-02,5.98E-04,1.85E-03,8.96E-05,0.00015022
1.07E-06,1.06E-06,1.86E-04,3.00E-04,1.44E-06,3.74E-06,,1.15E-02,1.41E-02,5.99E-04,1.85E-03,8.96E-05,0.00015032
1.33E-06,1.03E-06,1.88E-04,3.03E-04,1.44E-06,4.00E-06,,1.16E-02,1.42E-02,6.00E-04,1.86E-03,8.96E-05,0.00015054
1.09E-06,1.06E-06,1.89E-04,3.06E-04,1.44E-06,4.00E-06,,1.17E-02,1.43E-02,6.01E-04,1.86E-03,8.96E-05,0.00015067
1.07E-06,1.07E-06,1.90E-04,3.10E-04,1.47E-06,4.18E-06,,1.18E-02,1.44E-02,6.02E-04,1.86E-03,8.96E-05,0.00015067
1.07E-06,1.06E-06,1.91E-04,3.14E-04,1.47E-06,4.20E-06,,1.19E-02,1.45E-02,6.03E-04,1.86E-03,8.96E-05,0.00015067
1.01E-06,1.01E-06,1.92E-04,3.18E-04,1.49E-06,4.24E-06,,1.20E-02,1.47E-02,6.04E-04,1.86E-03,8.96E-05,0.00015077
1.07E-06,1.06E-06,1.93E-04,3.27E-04,1.49E-06,4.43E-06,,1.21E-02,1.48E-02,6.05E-04,1.86E-03,8.96E-05,0.00015078
1.13E-06,1.06E-06,1.94E-04,3.30E-04,1.49E-06,4.56E-06,,1.22E-02,1.49E-02,6.06E-04,1.86E-03,8.96E-05,0.00015093
1.11E-06,1.05E-06,1.95E-04,3.36E-04,1.51E-06,4.56E-06,,1.23E-02,1.50E-02,6.07E-04,1.86E-03,8.96E-05,0.00015122
1.07E-06,1.06E-06,1.96E-04,3.40E-04,1.51E-06,4.88E-06,,1.24E-02,1.51E-02,6.08E-04,1.87E-03,8.96E-05,0.00015122
1.67E-06,1.01E-06,1.97E-04,3.43E-04,1.51E-06,5.06E-06,,1.25E-02,1.52E-02,6.09E-04,1.87E-03,8.96E-05,0.00015132
1.34E-06,1.06E-06,1.98E-04,3.46E-04,1.53E-06,5.27E-06,,1.26E-02,1.53E-02,6.10E-04,1.87E-03,8.96E-05,0.00015133
1.12E-06,1.06E-06,1.99E-04,3.51E-04,1.53E-06,5.64E-06,,1.27E-02,1.54E-02,6.11E-04,1.87E-03,8.96E-05,0.00015142
1.08E-06,1.07E-06,2.00E-04,3.55E-04,1.55E-06,5.64E-06,,1.28E-02,1.55E-02,6.12E-04,1.87E-03,8.96E-05,0.00015152
1.07E-06,1.06E-06,2.01E-04,3.59E-04,1.55E-06,5.64E-06,,1.28E-02,1.56E-02,6.13E-04,1.87E-03,8.96E-05,0.00015152
