A,linear ,,,,A,quadratic,,,,A,chaining,,,,B,linear ,,,,B,quadratic,,,,B,chaining,,
insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search
3.20E-07,0.0001163,16,0,,5.60E-07,8.96E-05,16,0,,4.20E-07,4.36E-06,16,0,,3.50E-07,0.00013246,19,0,,3.21E-06,0.00014353,18,0,,2.70E-07,4.00E-06,13,0
3.40E-07,0.0001163,8,2,,5.60E-07,8.96E-05,8,2,,4.40E-07,4.36E-06,7,2,,3.70E-07,0.00013246,26,0,,3.21E-06,0.00014353,27,0,,2.70E-07,4.00E-06,24,0
3.40E-07,0.0001163,7,6,,5.60E-07,8.96E-05,7,6,,4.40E-07,4.36E-06,5,6,,3.70E-07,0.00013246,19,1,,3.21E-06,0.00014369,20,1,,2.80E-07,4.00E-06,16,0
3.60E-07,0.0001163,15,1,,5.80E-07,8.96E-05,15,1,,4.60E-07,4.36E-06,14,0,,3.80E-07,0.00013246,27,2,,3.23E-06,0.00014396,28,1,,2.80E-07,4.00E-06,26,0
3.60E-07,0.0001163,13,0,,5.80E-07,8.96E-05,13,0,,4.60E-07,4.36E-06,12,0,,3.80E-07,0.00013246,21,5,,3.23E-06,0.00014414,21,2,,9.90E-07,4.00E-06,18,0
3.60E-07,0.0001163,8,0,,6.00E-07,8.96E-05,8,0,,4.60E-07,4.36E-06,8,0,,3.80E-07,0.00013246,19,0,,3.23E-06,0.00014466,19,0,,9.90E-07,4.00E-06,17,0
3.80E-07,0.0001163,7,9,,6.00E-07,8.96E-05,6,9,,4.80E-07,4.36E-06,6,9,,3.90E-07,0.00013246,25,0,,3.25E-06,0.00014479,26,0,,9.90E-07,4.00E-06,22,0
3.80E-07,0.0001163,7,3,,6.00E-07,8.96E-05,7,3,,4.80E-07,4.36E-06,6,3,,3.90E-07,0.00013246,29,6,,3.25E-06,0.00014486,27,5,,1.01E-06,4.00E-06,19,0
4.00E-07,0.0001163,11,6,,6.20E-07,8.96E-05,11,6,,4.80E-07,4.36E-06,11,6,,4.10E-07,0.00013246,25,1,,3.27E-06,0.00014504,25,1,,1.03E-06,4.00E-06,20,0
4.00E-07,0.0001163,10,6,,6.20E-07,8.96E-05,10,6,,4.90E-07,4.36E-06,10,6,,4.10E-07,0.00013246,13,2,,3.27E-06,0.0001451,14,2,,1.05E-06,4.00E-06,12,0
